scenario,level,level_label,level_unit,model,horizon,mean_delta_rmse_pct,ci95_delta_rmse_pct,n_runs,plot_response_log10_1p,plot_ci_low_log10_1p,plot_ci_high_log10_1p
stuck_sensor,0.05,0.05,sensor_fraction,last_value,30min,119.98998342400762,12.961699322055658,3,2.082749417227632,2.033537477905517,2.1269481737317557
stuck_sensor,0.05,0.05,sensor_fraction,seasonal_mix_strict,30min,119.95662393065697,12.958768213296526,3,2.082629656557032,2.0334151327150716,2.1268304973928918
stuck_sensor,0.05,0.05,sensor_fraction,topology_blend_strict,30min,116.5704054327493,12.652901411978242,3,2.0702980158323845,2.020847950209395,2.114688719471814
stuck_sensor,0.1,0.1,sensor_fraction,daily_naive,30min,15.887790905754974,8.854612176755598,3,1.2275728431656008,0.9048874296242647,1.4106490863430237
stuck_sensor,0.1,0.1,sensor_fraction,last_value,30min,170.64518962227365,69.66560178783276,3,2.2346316367755987,2.00851325236974,2.382576743977025
stuck_sensor,0.1,0.1,sensor_fraction,seasonal_mix_strict,30min,170.59241687692398,69.65456089927788,3,2.234498091314106,2.008335494988716,2.382461881421675
stuck_sensor,0.1,0.1,sensor_fraction,topology_blend_strict,30min,162.72118404304172,69.25768913961461,3,2.2141048768326255,1.9752640093033023,2.3673165404415037
stuck_sensor,0.2,0.2,sensor_fraction,daily_naive,30min,35.11187358141898,9.082071664682829,3,1.5576500213806672,1.4318428630578206,1.6550802551135264
stuck_sensor,0.2,0.2,sensor_fraction,last_value,30min,315.20663825905353,71.36683188581897,3,2.4999709830187538,2.3888820273740006,2.5883540414333774
stuck_sensor,0.2,0.2,sensor_fraction,seasonal_mix_strict,30min,315.13310341569564,71.35974533269501,3,2.4998699747324253,2.388764146042155,2.588263691931952
stuck_sensor,0.2,0.2,sensor_fraction,topology_blend_strict,30min,304.5263410225354,73.54160212326735,3,2.4850486589896366,2.365459415796779,2.578717058751024
time_shift,1.0,1step,shift_steps,daily_naive,30min,0.11441532245787882,1.9233632618876244e-17,3,0.047047074712711245,0.047047074712711245,0.047047074712711245
time_shift,1.0,1step,shift_steps,last_value,30min,6.87314019951491,1.2309524876080796e-15,3,0.8961479851310279,0.8961479851310279,0.896147985131028
time_shift,1.0,1step,shift_steps,seasonal_mix_strict,30min,6.824716185561816,0.0,3,0.8934685939782615,0.8934685939782615,0.8934685939782615
time_shift,1.0,1step,shift_steps,topology_blend_strict,30min,6.60355856739439,0.0,3,0.8810168955014467,0.8810168955014467,0.8810168955014467
time_shift,3.0,3step,shift_steps,daily_naive,30min,0.3914206181618393,0.0,3,0.14345843447338488,0.14345843447338488,0.14345843447338488
time_shift,3.0,3step,shift_steps,last_value,30min,19.97556344356416,0.0,3,1.3217136356339532,1.3217136356339532,1.3217136356339532
time_shift,3.0,3step,shift_steps,seasonal_mix_strict,30min,19.86000296008049,0.0,3,1.3193143657178625,1.3193143657178625,1.3193143657178625
time_shift,3.0,3step,shift_steps,topology_blend_strict,30min,19.230990151090147,0.0,3,1.3060171386596586,1.3060171386596586,1.3060171386596586
time_shift,6.0,6step,shift_steps,daily_naive,30min,0.8774090025782941,0.0,3,0.27355889606989336,0.27355889606989336,0.27355889606989336
time_shift,6.0,6step,shift_steps,last_value,30min,36.91322676750599,0.0,3,1.5787907484909522,1.5787907484909522,1.5787907484909522
time_shift,6.0,6step,shift_steps,seasonal_mix_strict,30min,36.68667253690359,0.0,3,1.5761877940520044,1.5761877940520044,1.5761877940520044
time_shift,6.0,6step,shift_steps,topology_blend_strict,30min,35.60285366067351,0.0,3,1.563514945524785,1.563514945524785,1.563514945524785
