model,horizon,dqi_formal_grade,n_sensors,weighted_rmse_m,median_rmse_m,mean_dqi_formal_score
last_value,30min,C,33,0.1857839896887387,0.0780994072556495,68.63137964501534
last_value,30min,D,25,0.1099171626384828,0.1057668253779411,48.35119528740936
last_value,5min,A,19,0.0350668034147909,0.028580417856574,88.17121975999969
last_value,5min,B,36,0.0507417030275247,0.0256023341789841,81.09086862809298
last_value,5min,C,33,0.0816687889166136,0.0272740628570318,68.63137964501534
last_value,5min,D,25,0.0504979008470119,0.033476635813713,48.35119528740936
last_value,60min,A,19,0.1284384547849173,0.1489428579807281,88.17121975999969
last_value,60min,B,36,0.1513033330067219,0.1272893399000167,81.09086862809298
last_value,60min,C,33,0.2496729134602546,0.1230773702263832,68.63137964501534
last_value,60min,D,25,0.1498099132016823,0.1504271775484085,48.35119528740936
seasonal_mix_strict,120min,A,19,0.1996530689656926,0.2221780866384506,88.17121975999969
seasonal_mix_strict,120min,B,36,0.213768348779523,0.1890975683927536,81.09086862809298
seasonal_mix_strict,120min,C,33,0.3202525386693527,0.193571850657463,68.63137964501534
seasonal_mix_strict,120min,D,25,0.2105450027487478,0.2194894850254058,48.35119528740936
seasonal_mix_strict,15min,A,19,0.0570442085200987,0.0553894601762294,88.17121975999969
seasonal_mix_strict,15min,B,36,0.086730714266497,0.0526033621281385,81.09086862809298
seasonal_mix_strict,15min,C,33,0.1380337836802726,0.0533586628735065,68.63137964501534
seasonal_mix_strict,15min,D,25,0.0831036159636471,0.0672247037291526,48.35119528740936
seasonal_mix_strict,30min,A,19,0.0832016491537407,0.0919123664498329,88.17121975999969
seasonal_mix_strict,30min,B,36,0.1098184592288405,0.0821718648076057,81.09086862809298
seasonal_mix_strict,30min,C,33,0.1859072298142765,0.0780994072556495,68.63137964501534
seasonal_mix_strict,30min,D,25,0.1090431583670031,0.1057668253779411,48.35119528740936
seasonal_mix_strict,5min,A,19,0.0351616747384553,0.028580417856574,88.17121975999969
seasonal_mix_strict,5min,B,36,0.0507445992555456,0.0256023341789841,81.09086862809298
seasonal_mix_strict,5min,C,33,0.0816687889166136,0.0272740628570318,68.63137964501534
seasonal_mix_strict,5min,D,25,0.0501589965304968,0.033476635813713,48.35119528740936
seasonal_mix_strict,60min,A,19,0.1279663287353418,0.148845687508583,88.17121975999969
seasonal_mix_strict,60min,B,36,0.1502485308146606,0.1272893399000167,81.09086862809298
seasonal_mix_strict,60min,C,33,0.2486542038750063,0.1230773702263832,68.63137964501534
seasonal_mix_strict,60min,D,25,0.1485365394242969,0.1504271775484085,48.35119528740936
topology_blend_strict,120min,A,19,0.2166568624925141,0.230609655380249,88.17121975999969
topology_blend_strict,120min,B,36,0.219950287168167,0.1941128894686698,81.09086862809298
topology_blend_strict,120min,C,33,0.3270501663002905,0.1988089084625244,68.63137964501534
topology_blend_strict,120min,D,25,0.2178714551770898,0.2065974473953247,48.35119528740936
topology_blend_strict,15min,A,19,0.0711251879634377,0.0553894601762294,88.17121975999969
topology_blend_strict,15min,B,36,0.0868876646186118,0.0526033621281385,81.09086862809298
topology_blend_strict,15min,C,33,0.1372060133530834,0.0533586628735065,68.63137964501534
topology_blend_strict,15min,D,25,0.0836230288183489,0.0672247037291526,48.35119528740936
topology_blend_strict,30min,A,19,0.1046195332604878,0.0922593846917152,88.17121975999969
topology_blend_strict,30min,B,36,0.1097342603330784,0.0821202881634235,81.09086862809298
topology_blend_strict,30min,C,33,0.1857870384104943,0.0780994072556495,68.63137964501534
topology_blend_strict,30min,D,25,0.1096906331144758,0.1057668253779411,48.35119528740936
topology_blend_strict,5min,A,19,0.0472995220927578,0.028580417856574,88.17121975999969
topology_blend_strict,5min,B,36,0.0507417030275247,0.0256023341789841,81.09086862809298
topology_blend_strict,5min,C,33,0.0816687889166136,0.0272740628570318,68.63137964501534
topology_blend_strict,5min,D,25,0.0504117751438455,0.033476635813713,48.35119528740936
topology_blend_strict,60min,A,19,0.1453028901988924,0.1489428579807281,88.17121975999969
topology_blend_strict,60min,B,36,0.1513909258656253,0.1272893399000167,81.09086862809298
topology_blend_strict,60min,C,33,0.2496477058157492,0.1230773702263832,68.63137964501534
topology_blend_strict,60min,D,25,0.1496731942637328,0.1504271775484085,48.35119528740936
