event_id,event_start,event_end,duration_hours,wet_hours,total_areal_rainfall_mm,total_localmax_rainfall_mm,peak_areal_hourly_mm,peak_localmax_hourly_mm,duration_class,rainfall_magnitude_class,magnitude_threshold_note,response_lag_hours,window_hours_with_lag,mean_event_quality_score,median_event_quality_score,mean_observed_fraction,mean_max_missing_gap_hours,mean_flat_step_rate,mean_diff_spike_rate,low_dynamic_sensor_fraction_1cm,low_dynamic_sensor_fraction_3cm,low_dynamic_sensor_fraction_5cm
E001,2021-08-11 15:00:00,2021-08-11 23:00:00,9,6,8.149999999999999,38.2,3.125,21.8,medium 3-12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,14.083333333333334,69.31261265182793,83.71693351896973,0.6241294444153532,5.250737463126844,0.21356194824088576,0.20358133455604566,0.02654867256637168,0.02654867256637168,0.05309734513274336
E035,2021-10-07 09:00:00,2021-10-09 13:00:00,53,44,12.875,53.49999999999999,3.7625,7.1,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,58.083333333333336,86.54694523382436,89.39186778640723,0.9327078122420994,3.0376106194690267,0.3418517641740364,0.09568948915634881,0.017699115044247787,0.04424778761061947,0.07079646017699115
E037,2021-10-10 13:00:00,2021-10-10 22:00:00,10,7,0.85,5.9,0.5,3.5,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,15.083333333333334,87.34980472490498,90.2209772798008,0.9339461203735394,0.9756637168141594,0.302367837212965,0.10113986772892629,0.07964601769911504,0.11504424778761062,0.20353982300884957
E039,2021-10-12 01:00:00,2021-10-12 16:00:00,16,15,2.45,8.5,0.5,1.6,long >12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,21.083333333333332,86.80286048831387,89.34145463191865,0.9314771415579419,1.2721238938053097,0.30888118974885875,0.10621756594818675,0.061946902654867256,0.11504424778761062,0.18584070796460178
E040,2021-10-12 23:00:00,2021-10-15 07:00:00,57,48,13.462499999999999,48.6,1.2,4.8,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,62.083333333333336,86.71110359745097,89.02894491129786,0.9283601591732493,3.126106194690266,0.24968675398819093,0.1328678053425109,0.05309734513274336,0.061946902654867256,0.08849557522123894
E042,2021-10-21 00:00:00,2021-10-22 12:00:00,37,36,12.487499999999997,32.800000000000004,1.3875000000000002,4.4,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,42.083333333333336,86.09329408346686,89.20209668025628,0.9307631648120565,2.28834808259587,0.28792028093528826,0.12011468691329245,0.05309734513274336,0.07964601769911504,0.11504424778761062
E044,2021-10-23 17:00:00,2021-10-24 00:00:00,8,7,2.1999999999999997,5.5,0.6499999999999999,1.4,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,13.083333333333334,85.87141564160439,88.28557063851183,0.9233977791556283,0.890117994100295,0.31077612151801465,0.10962963931985376,0.09734513274336283,0.12389380530973451,0.18584070796460178
E049,2021-10-30 00:00:00,2021-10-30 09:00:00,10,9,0.75,2.1,0.25,0.6,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,15.083333333333334,86.20340739713124,89.41176470588236,0.933506087126583,0.8724188790560473,0.3572013264839909,0.0925252475830474,0.07964601769911504,0.09734513274336283,0.168141592920354
E051,2021-11-01 07:00:00,2021-11-01 14:00:00,8,7,0.8,3.0999999999999996,0.3625,1.7,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,13.083333333333334,86.50078213834522,89.41176470588236,0.924299644890367,0.9867256637168141,0.3375034890852919,0.07828398393280606,0.10619469026548672,0.1592920353982301,0.23893805309734514
E054,2021-11-04 07:00:00,2021-11-05 08:00:00,26,21,13.812500000000002,24.900000000000002,3.2625,4.5,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,31.083333333333332,85.14905223262771,86.40813590548835,0.9307694132719638,1.8407079646017699,0.28655887426841,0.140052875808494,0.061946902654867256,0.061946902654867256,0.07964601769911504
E056,2021-11-06 08:00:00,2021-11-06 23:00:00,16,12,1.8375000000000001,5.6000000000000005,0.4,1.3,long >12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,21.083333333333332,87.41005811530145,90.31834956204705,0.9302179159816714,1.4181415929203538,0.33478813241165734,0.0917332706263158,0.07079646017699115,0.08849557522123894,0.1504424778761062
E058,2021-11-07 19:00:00,2021-11-08 09:00:00,15,14,7.1125,16.700000000000003,1.5125,3.5,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,20.083333333333332,86.07424196880628,88.69576106291636,0.9192156574743877,1.4210914454277284,0.28700580101546624,0.11346698601078718,0.061946902654867256,0.11504424778761062,0.1504424778761062
E060,2021-11-16 16:00:00,2021-11-16 20:00:00,5,5,3.225,5.499999999999999,1.725,2.5,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,10.083333333333334,87.61909553712076,89.41176470588236,0.9447816865355079,0.53023598820059,0.2929081868183312,0.11190608436447193,0.061946902654867256,0.11504424778761062,0.18584070796460178
E061,2021-11-17 01:00:00,2021-11-18 02:00:00,26,22,2.5500000000000003,6.599999999999999,0.5625,0.9,long >12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,31.083333333333332,87.00180984334767,89.50935212794795,0.9409950414007449,1.5420353982300885,0.3354516039171313,0.09008386549328777,0.061946902654867256,0.08849557522123894,0.168141592920354
