variant,variant_type,w_coverage,w_continuity,w_stability,w_plausibility,w_temporal_consistency,threshold_A,threshold_B,threshold_C,grade_exact_agreement,grade_adjacent_agreement,quadratic_weighted_kappa,score_spearman_vs_base,scenario_rank_spearman_vs_base,top_failure_same_as_base,bottom_failure_same_as_base,exact_failure_order_same_as_base,failure_order
threshold_A+2_B+2_C-3,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,77.0,57.0,0.8849557522123894,1.0,0.9382643412481614,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B+2_C+0,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,77.0,60.0,0.911504424778761,1.0,0.9537416079908302,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B+2_C+3,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,77.0,63.0,0.8761061946902655,1.0,0.9374010762899652,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0001,random_weight_threshold,0.312970325047421,0.2116455345848141,0.1963743803438928,0.0677159996865811,0.2112937603372909,84.29526196783438,75.68369342645259,55.98915778177508,0.9823008849557522,1.0,0.9912855710650113,0.9989270743229758,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0002,random_weight_threshold,0.364352727693741,0.228677487087749,0.1170357764067208,0.0732965841322423,0.2166374246795467,86.05170267882876,75.95004484893062,60.35204601181536,0.8230088495575221,1.0,0.9146396736667172,0.9877403686206668,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0003,random_weight_threshold,0.3324944962311923,0.1663967854934473,0.2537595831509411,0.1275606946662806,0.1197884404581385,88.86013359873546,72.26492513040725,56.21049423840143,0.8141592920353983,1.0,0.8958525345622119,0.9891043981635504,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0004,random_weight_threshold,0.336341489429436,0.1796486309392478,0.1979732155214342,0.1140658604872796,0.1719708036226022,87.51533941179537,74.24332126197409,61.69545379383136,0.8849557522123894,1.0,0.940194601636608,0.9996756271208996,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0005,random_weight_threshold,0.3905674799748286,0.193790248998977,0.1868192180352311,0.0874413237580956,0.1413817292328676,85.5211704913705,75.45514548923863,58.874383484353714,0.9646017699115044,1.0,0.9823036567222614,0.9996340408543484,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0006,random_weight_threshold,0.4211910963920159,0.1606879932923537,0.174113703986862,0.0974480089935623,0.1465591973352061,84.82558725731592,74.70958467993975,62.69108668663066,0.7699115044247787,1.0,0.8955637707948244,0.9991017366424912,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0007,random_weight_threshold,0.3116734618990016,0.2509190638514089,0.1711341498278292,0.1192102599872655,0.1470630644344947,80.71760459828823,77.29012998731253,61.13925643424888,0.7079646017699115,1.0,0.8870513402998637,0.9975380930201612,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
